1,971

1,971

1,996

1,989

1,995

2,864

2,872

2,887

2,885

2,876

3,883

3,893

3,871

3,880

3,870

4,884

4,875

4,896

4,882

4,894

5,880

5,880

5,889

5,894

5,884

6,889

6,884

6,888

6,893

6,886

7,870

7,890

7,883

7,885

7,883

8,892

8,893

8,879

8,888

8,887

9,885

9,884

9,888

9,893

9,892

10,885

10,885

10,879

10,887

10,890

11,894

11,894

11,893

11,900

11,887

12,881

12,871

12,896

12,882

12,881

13,873

13,894

13,891

13,886

13,902

14,886

14,882

14,893

14,881

14,884

15,894

15,890

15,888

15,887

15,904

16,880

16,884

16,890

16,885

16,890

17,883

17,888

17,881

17,879

17,873

18,870

18,893

18,882

18,876

18,884

19,879

19,875

19,878

19,886

19,875

20,896

20,888

20,878

20,887

20,878

21,879

21,875

21,888

21,879

21,873

22,881

22,879

22,893

22,878

22,890

23,886

23,870

23,887

23,882

23,873

24,883

24,886

24,887

24,885

24,891

25,874

25,880

25,877

25,875

25,882

26,886

26,883

26,877

26,879

26,874

27,874

27,866

27,881

27,871

27,873

28,880

28,875

28,871

28,869

28,876

29,879

29,887

29,880

29,879

29,876

30,887

30,868

30,869

30,878

30,881
